datasource;dayofservice;tripid;progrnumber;stoppointid;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;vehicleid;passengers;passengersin;passengersout;distance;suppressed;justificationid;lastupdate;note
DB;27-MAR-17 00:00:00;4524205;54;3236;32718;32718;32661;32703;1000891;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524205;59;3068;33116;33116;33038;33060;1000891;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522913;2;2183;63031;63031;63034;63043;2534844;;;;;;;09-APR-17 09:00:06;
DB;04-APR-17 00:00:00;4525946;21;1637;23129;23129;23196;23276;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;22;1638;23181;23181;23308;23324;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;23;1639;23276;23276;23377;23417;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;24;1640;23335;23335;23456;23456;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;25;231;23398;23398;23484;23506;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;26;1641;23510;23510;23554;23566;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;27;1642;23580;23580;23601;23611;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;28;213;23652;23652;23695;23695;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;29;214;23698;23698;23715;23715;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;30;4432;23745;23745;23737;23737;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;31;119;23794;23794;23823;23823;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;32;44;23840;23840;23840;23840;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;33;7603;23873;23873;23853;23863;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;34;45;23913;23913;23884;23893;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;35;46;23984;23984;23933;23943;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;36;47;24069;24069;23982;23999;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;37;48;24139;24139;24019;24019;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;38;49;24240;24240;24050;24094;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;39;51;24322;24322;24127;24127;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;40;52;24366;24366;24146;24157;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;41;277;24582;24582;24384;24421;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4525946;42;288;24706;24706;24497;24497;1000860;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4531808;2;3704;26729;26729;26912;26912;1001238;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4531808;3;3705;26796;26796;26962;27000;1001238;;;;;;;05-MAY-17 18:01:05;
DB;04-APR-17 00:00:00;4531808;4;733;26894;26894;27063;27080;1001238;;;;;;;05-MAY-17 18:01:05;
